SGD/AUD,0.49%
SGD/CAD,0.50%
SGD/CHF,0.54%
SGD/CNY,1.19%
SGD/EUR,0.47%
SGD/GBP,0.49%
SGD/HKD,0.56%
SGD/IDR,0.58%
SGD/INR,0.59%
SGD/JPY,0.76%
SGD/KRW,0.79%
SGD/MYR,0.56%
SGD/NZD,0.51%
SGD/PHP,0.63%
SGD/RUB,1.07%
SGD/THB,0.68%
SGD/TRY,1.29%
SGD/USD,0.50%
SGD/VND,0.85%
AUD/SGD,0.56%
AUD/CAD,0.53%
AUD/CHF,0.56%
AUD/CNY,1.22%
AUD/EUR,0.50%
AUD/GBP,0.51%
AUD/HKD,0.58%
AUD/IDR,0.60%
AUD/INR,0.61%
AUD/JPY,0.76%
AUD/KRW,0.82%
AUD/MYR,0.58%
AUD/NZD,0.53%
AUD/PHP,0.66%
AUD/RUB,1.09%
AUD/THB,0.71%
AUD/TRY,1.31%
AUD/USD,0.52%
AUD/VND,0.87%
CAD/SGD,0.75%
CAD/AUD,0.70%
CAD/CHF,0.75%
CAD/CNY,1.41%
CAD/EUR,0.69%
CAD/GBP,0.70%
CAD/HKD,0.78%
CAD/IDR,0.79%
CAD/INR,0.80%
CAD/JPY,0.97%
CAD/KRW,1.01%
CAD/MYR,0.77%
CAD/NZD,0.73%
CAD/PHP,0.85%
CAD/RUB,1.29%
CAD/THB,0.89%
CAD/TRY,1.50%
CAD/USD,0.71%
CAD/VND,1.06%
CHF/SGD,0.56%
CHF/AUD,0.51%
CHF/CAD,0.53%
CHF/CNY,1.23%
CHF/EUR,0.50%
CHF/GBP,0.51%
CHF/HKD,0.59%
CHF/IDR,0.60%
CHF/INR,0.61%
CHF/JPY,0.78%
CHF/KRW,0.82%
CHF/MYR,0.58%
CHF/NZD,0.54%
CHF/PHP,0.66%
CHF/RUB,1.12%
CHF/THB,0.71%
CHF/TRY,1.31%
CHF/USD,0.53%
CHF/VND,0.88%
EUR/SGD,0.529%
EUR/AUD,0.48%
EUR/CAD,0.50%
EUR/CHF,0.53%
EUR/CNY,1.19%
EUR/GBP,0.48%
EUR/HKD,0.56%
EUR/IDR,0.57%
EUR/INR,0.58%
EUR/JPY,0.74%
EUR/KRW,0.78%
EUR/MYR,0.55%
EUR/NZD,0.51%
EUR/PHP,0.63%
EUR/RUB,1.07%
EUR/THB,0.67%
EUR/TRY,1.28%
EUR/USD,0.50%
EUR/VND,0.84%
GBP/SGD,0.45%
GBP/AUD,0.40%
GBP/CAD,0.41%
GBP/CHF,0.45%
GBP/CNY,1.11%
GBP/EUR,0.39%
GBP/HKD,0.47%
GBP/IDR,0.49%
GBP/INR,0.50%
GBP/JPY,0.66%
GBP/KRW,0.72%
GBP/MYR,0.47%
GBP/NZD,0.42%
GBP/PHP,0.55%
GBP/RUB,0.99%
GBP/THB,0.60%
GBP/TRY,1.20%
GBP/USD,0.41%
GBP/VND,0.76%
HKD/SGD,0.51%
HKD/AUD,0.46%
HKD/CAD,0.48%
HKD/CHF,0.51%
HKD/CNY,1.17%
HKD/EUR,0.45%
HKD/GBP,0.46%
HKD/IDR,0.56%
HKD/INR,0.56%
HKD/JPY,0.73%
HKD/KRW,0.76%
HKD/MYR,0.53%
HKD/NZD,0.48%
HKD/PHP,0.61%
HKD/RUB,1.04%
HKD/THB,0.65%
HKD/TRY,1.26%
HKD/USD,0.47%
HKD/VND,0.82%
IDR/SGD,1.08%
IDR/AUD,1.03%
IDR/CAD,1.05%
IDR/CHF,1.09%
IDR/CNY,1.81%
IDR/EUR,1.02%
IDR/GBP,1.03%
IDR/HKD,1.11%
IDR/INR,1.14%
IDR/JPY,1.32%
IDR/KRW,1.38%
IDR/MYR,1.11%
IDR/NZD,1.06%
IDR/PHP,1.20%
IDR/RUB,1.69%
IDR/THB,1.25%
IDR/TRY,1.90%
IDR/USD,1.04%
IDR/VND,1.43%
INR/SGD,1.91%
INR/AUD,1.86%
INR/CAD,1.88%
INR/CHF,1.91%
INR/EUR,1.85%
INR/GBP,1.87%
INR/IDR,1.96%
INR/MYR,1.93%
INR/NZD,1.89%
INR/PHP,2.00%
INR/TRY,2.64%
INR/USD,1.88%
JPY/SGD,0.70%
JPY/AUD,0.66%
JPY/CAD,0.67%
JPY/CHF,0.71%
JPY/CNY,1.36%
JPY/EUR,0.64%
JPY/GBP,0.66%
JPY/HKD,0.73%
JPY/IDR,0.75%
JPY/INR,0.76%
JPY/KRW,0.96%
JPY/MYR,0.73%
JPY/NZD,0.68%
JPY/PHP,0.80%
JPY/RUB,1.23%
JPY/THB,0.84%
JPY/TRY,1.45%
JPY/USD,0.67%
JPY/VND,1.01%
MYR/SGD,0.55%
MYR/AUD,0.51%
MYR/CAD,0.52%
MYR/CHF,0.56%
MYR/CNY,1.21%
MYR/EUR,0.50%
MYR/GBP,0.51%
MYR/HKD,0.58%
MYR/IDR,0.60%
MYR/INR,0.61%
MYR/JPY,0.77%
MYR/KRW,0.81%
MYR/NZD,0.53%
MYR/PHP,0.65%
MYR/RUB,1.08%
MYR/THB,0.70%
MYR/TRY,1.31%
MYR/USD,0.52%
MYR/VND,0.86%
NZD/SGD,0.56%
NZD/AUD,0.51%
NZD/CAD,0.53%
NZD/CHF,0.56%
NZD/CNY,1.21%
NZD/EUR,0.50%
NZD/GBP,0.51%
NZD/HKD,0.59%
NZD/IDR,0.60%
NZD/INR,0.61%
NZD/JPY,0.76%
NZD/KRW,0.81%
NZD/MYR,0.58%
NZD/PHP,0.66%
NZD/RUB,1.09%
NZD/THB,0.70%
NZD/TRY,1.31%
NZD/USD,0.52%
NZD/VND,0.86%
TRY/SGD,0.74%
TRY/AUD,0.70%
TRY/CAD,0.72%
TRY/CHF,0.75%
TRY/CNY,1.41%
TRY/EUR,0.69%
TRY/GBP,0.70%
TRY/HKD,0.77%
TRY/IDR,0.79%
TRY/INR,0.80%
TRY/JPY,0.95%
TRY/KRW,1.00%
TRY/MYR,0.77%
TRY/NZD,0.72%
TRY/PHP,0.84%
TRY/RUB,1.25%
TRY/THB,0.88%
TRY/USD,0.71%
TRY/VND,1.05%
USD/SGD,1.11%
USD/AUD,1.06%
USD/CAD,1.08%
USD/CHF,1.11%
USD/CNY,1.76%
USD/EUR,1.05%
USD/GBP,1.06%
USD/HKD,1.14%
USD/IDR,1.15%
USD/INR,1.16%
USD/JPY,1.33%
USD/KRW,1.36%
USD/MYR,1.13%
USD/NZD,1.08%
USD/PHP,1.20%
USD/RUB,1.64%
USD/THB,1.25%
USD/TRY,1.86%
USD/VND,1.42%
